SYMBOL,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME
ASL,14.51,14.60,15.59,14.60,15.35,0.84,5.79%,"39,558,000"
UNITY,18.09,18.50,19.30,18.50,18.95,0.86,4.75%,"28,964,500"
FFL,19.32,19.34,19.75,19.05,19.56,0.24,1.24%,"19,515,000"
KEL,4.28,4.30,4.47,4.27,4.35,0.07,1.64%,"17,979,000"
PIBTL,13.98,14.14,14.18,13.75,13.91,-0.07,-0.50%,"17,058,000"
HASCOL,22.02,21.90,22.09,21.65,21.86,-0.16,-0.73%,"7,879,000"
PSX,16.41,16.50,17.50,16.15,17.22,0.81,4.94%,"7,355,500"
NBP,41.02,41.00,41.14,40.56,40.65,-0.37,-0.90%,"6,649,000"
PRL,22.35,22.19,22.45,21.70,21.70,-0.65,-2.91%,"5,123,500"
KAPCO,28.10,28.00,28.05,27.31,27.63,-0.47,-1.67%,"5,049,000"
FFBL,23.03,23.08,23.10,22.55,22.82,-0.21,-0.91%,"4,248,500"
NCL,40.58,40.50,42.02,40.50,41.87,1.29,3.18%,"3,432,500"
POWER,9.42,9.46,9.50,9.30,9.43,0.01,0.11%,"3,257,000"
JSBL,7.14,7.10,7.18,6.80,6.85,-0.29,-4.06%,"3,222,000"
TRG,57.45,57.50,57.85,56.49,56.62,-0.83,-1.44%,"3,132,000"
PTC,11.63,11.52,11.70,11.43,11.66,0.03,0.26%,"2,578,000"
BYCO,10.85,10.79,10.85,10.57,10.70,-0.15,-1.38%,"2,499,500"
ASC,19.94,20.10,20.59,19.76,20.21,0.27,1.35%,"2,062,000"
BOP,9.85,9.86,9.91,9.77,9.80,-0.05,-0.51%,"2,012,000"
SNGP,63.95,63.76,65.70,63.65,65.25,1.30,2.03%,"2,001,500"
PREMA,23.15,23.90,24.18,23.25,23.50,0.35,1.51%,"1,967,500"
THCCL,21.56,23.00,23.00,21.90,22.50,0.94,4.36%,"1,771,000"
FCCL,21.54,21.54,21.59,21.30,21.39,-0.15,-0.70%,"1,746,000"
MLCF,39.48,39.48,39.60,39.00,39.45,-0.03,-0.08%,"1,674,500"
PAEL,38.21,38.29,38.51,37.90,38.30,0.09,0.24%,"1,633,000"
DSLDEF,4.95,5.10,5.34,4.90,5.11,0.16,3.23%,"1,569,500"
WAVES,30.48,30.35,31.20,30.00,30.90,0.42,1.38%,"1,316,500"
DFMLDEF,9.32,9.50,10.05,9.43,9.85,0.53,5.69%,"1,291,500"
JSCL,28.52,28.15,28.55,27.70,28.04,-0.48,-1.68%,"1,139,500"
PIAA,5.31,5.35,5.36,5.22,5.36,0.05,0.94%,"1,053,000"
FNEL,19.61,19.60,20.39,19.60,20.05,0.44,2.24%,"1,044,500"
STCL,12.87,13.00,13.60,12.99,13.28,0.41,3.19%,"1,015,500"
SMBLDEF,2.07,2.03,2.18,1.98,2.05,-0.02,-0.97%,"994,000"
BGL,8.12,8.15,8.65,8.05,8.51,0.39,4.80%,"912,000"
SSGC,17.10,17.10,17.40,16.86,17.40,0.30,1.75%,"903,500"
CLOV,112.44,114.99,114.99,110.01,111.35,-1.09,-0.97%,"881,500"
DGKC,112.03,111.01,112.50,110.50,111.80,-0.23,-0.21%,"752,000"
EPCL,43.20,42.70,44.15,42.70,43.52,0.32,0.74%,"709,000"
PPL,98.71,98.35,98.98,98.01,98.50,-0.21,-0.21%,"700,266"
LOADS,21.58,21.61,22.25,21.31,21.91,0.37,1.72%,"690,500"
CSIL,3.44,3.58,3.59,3.45,3.50,0.06,1.74%,"664,500"
SPEL,46.82,47.10,49.51,47.10,48.50,1.68,3.59%,"631,500"
ITTEFAQ,15.76,15.99,16.49,15.65,16.20,0.44,2.79%,"627,000"
STPL,13.32,13.55,13.70,13.25,13.65,0.33,2.48%,"588,000"
TOMCL,30.55,30.61,30.80,30.00,30.12,-0.26,-0.86%,"584,500"
GHNI,282.70,283.00,287.85,280.01,285.00,2.30,0.81%,"561,400"
LPL,14.78,14.51,15.10,14.51,14.89,0.11,0.74%,"552,500"
ESBL,13.91,14.00,14.95,14.00,14.06,0.15,1.08%,"525,000"
SILK,1.10,1.09,1.14,1.09,1.12,0.02,1.82%,"516,500"
AVN,66.99,67.00,67.00,65.30,66.50,-0.49,-0.73%,"512,500"
DCL,11.17,11.25,11.37,11.05,11.32,0.15,1.34%,"512,000"
TREET,27.39,27.41,27.90,27.38,27.80,0.41,1.50%,"483,500"
HCAR,305.44,305.02,328.00,304.00,320.50,15.06,4.93%,"478,000"
TPL,6.46,6.40,6.40,6.19,6.30,-0.16,-2.48%,"451,000"
ISL,83.04,83.10,83.44,82.12,83.01,-0.03,-0.04%,"415,500"
KOSM,2.78,2.80,2.80,2.70,2.77,-0.01,-0.36%,"413,500"
ASTL,50.90,51.05,51.06,50.41,50.78,-0.12,-0.24%,"406,000"
PSO,207.22,207.10,207.99,204.50,205.50,-1.72,-0.83%,"379,735"
LOTCHEM,13.36,13.27,13.37,13.21,13.35,-0.01,-0.07%,"367,500"
